title_y,cluster_id
The Lord of the Rings: The Fellowship of the Ring,2
Around the World in 80 Days,1
Ali,1
The Cat in the Hat,0
"I, Robot",2
Kingdom of Heaven,1
Stuart Little,2
The Princess and the Frog,2
The Martian,2
The Island,1
Town & Country,1
Gone in Sixty Seconds,1
Gladiator,2
Minority Report,1
Harry Potter and the Chamber of Secrets,2
Casino Royale,2
Planet of the Apes,1
Terminator 2: Judgment Day,2
Public Enemies,1
American Gangster,1
True Lies,2
The Taking of Pelham 1 2 3,1
Little Fockers,1
The Other Guys,1
Eraser,1
Django Unchained,2
The Hunchback of Notre Dame,2
The Emperor's New Groove,2
The Expendables 2,1
National Treasure,1
Eragon,1
Where the Wild Things Are,2
Epic,2
The Tourist,1
End of Days,1
Blood Diamond,1
The Wolf of Wall Street,2
Batman Forever,1
Starship Troopers,1
Cloud Atlas,2
Legend of the Guardians: The Owls of Ga'Hoole,2
Catwoman,1
Hercules,1
Treasure Planet,2
Land of the Lost,1
The Expendables 3,1
Point Break,2
Son of the Mask,1
In the Heart of the Sea,1
The Adventures of Pluto Nash,1
Green Zone,1
The Peanuts Movie,2
The Spanish Prisoner,0
The Mummy Returns,2
Gangs of New York,1
The Flowers of War,1
Surf's Up,1
The Stepford Wives,1
Black Hawk Down,1
The Campaign,1
The Fifth Element,2
Sex and the City 2,1
The Road to El Dorado,2
Ice Age: Continental Drift,2
Cinderella,2
The Lovely Bones,1
Finding Nemo,2
The Lord of the Rings: The Return of the King,2
The Lord of the Rings: The Two Towers,2
Seventh Son,1
Lara Croft: Tomb Raider,1
Transcendence,1
Jurassic Park III,1
Rise of the Planet of the Apes,2
The Spiderwick Chronicles,2
A Good Day to Die Hard,2
The Alamo,1
The Incredibles,2
Cutthroat Island,1
Percy Jackson & the Olympians: The Lightning Thief,1
Men in Black,2
Toy Story 2,2
Unstoppable,1
Rush Hour 2,1
What Lies Beneath,1
Cloudy with a Chance of Meatballs,2
Ice Age: Dawn of the Dinosaurs,2
The Secret Life of Walter Mitty,1
Charlie's Angels,1
The Departed,2
Mulan,2
Tropic Thunder,1
The Girl with the Dragon Tattoo,1
Die Hard: With a Vengeance,1
Sherlock Holmes,2
Ben-Hur,1
Atlantis: The Lost Empire,2
Alvin and the Chipmunks: The Road Chip,2
Valkyrie,1
You Don't Mess with the Zohan,1
Pixels,2
A.I. Artificial Intelligence,2
The Haunted Mansion,1
Contact,1
Hollow Man,1
The Interpreter,1
Percy Jackson: Sea of Monsters,2
Lara Croft Tomb Raider: The Cradle of Life,1
Now You See Me 2,2
The Saint,1
Spy Game,1
Mission to Mars,1
Rio,2
Bicentennial Man,1
Volcano,1
The Devil's Own,1
K-19: The Widowmaker,1
Conan the Barbarian,3
Cinderella Man,1
The Nutcracker: The Untold Story,2
Seabiscuit,1
Twister,2
Cast Away,2
Happy Feet,2
The Bourne Supremacy,1
Air Force One,1
Ocean's Eleven,2
The Three Musketeers,1
Hotel Transylvania,2
Enchanted,1
Safe House,1
102 Dalmatians,1
Tower Heist,1
The Holiday,1
Enemy of the State,1
It's Complicated,1
Ocean's Thirteen,1
Open Season,2
Divergent,2
Enemy at the Gates,1
The Rundown,1
Last Action Hero,1
Memoirs of a Geisha,1
The Fast and the Furious: Tokyo Drift,1
Arthur Christmas,2
Meet Joe Black,1
Collateral Damage,1
All That Jazz,3
Mirror Mirror,1
Scott Pilgrim vs. the World,1
The Core,1
Nutty Professor II: The Klumps,1
